代號	名稱	標的代號	標的名稱	股數／單位數	投資比率(%)
98639797	合庫六年到期ESG優先順位新興市場債券A(TWD不配息)	US71654QBV32	墨西哥石油公司		5.14
98639797	合庫六年到期ESG優先順位新興市場債券A(TWD不配息)	IL0011677742	Leviathan Bond Ltd		4.25
98639797	合庫六年到期ESG優先順位新興市場債券A(TWD不配息)	XS1983289791	非洲金融公司		4.24
98639797	合庫六年到期ESG優先順位新興市場債券A(TWD不配息)	US40049JAV98	特萊維薩集團公司		3.68
98639449	合庫六年到期ESG新興市場債券A(TWD不配息)	XS2189425122	非洲金融公司		2.63
98639449	合庫六年到期ESG新興市場債券A(TWD不配息)	USP1024TAN92	西班牙外換銀行哥倫比亞		2.61
98639449	合庫六年到期ESG新興市場債券A(TWD不配息)	USP3R94GAK53	秘魯企業金融發展銀行		2.59
98639449	合庫六年到期ESG新興市場債券A(TWD不配息)	USY7136YAA83	國家天然氣股份有限公司		2.59
98639449	合庫六年到期ESG新興市場債券A(TWD不配息)	USP9339SAQ77	Transelec有限責任公司		2.57
98638972	合庫六年到期新興市場債券A(TWD不配息)	XS1598047550	非洲金融公司		6.36
98638972	合庫六年到期新興市場債券A(TWD不配息)	US71654QBW15	墨西哥石油公司		5.75
98638972	合庫六年到期新興市場債券A(TWD不配息)	XS1079848369	印度石油天然氣Videsh有限公司		5.06
98638972	合庫六年到期新興市場債券A(TWD不配息)	US80386WAA36	薩索爾融資美國有限責任公司		4.88
98638972	合庫六年到期新興市場債券A(TWD不配息)	XS1028952403	肯亞政府國際債券		4.4
98637173	合庫台灣	2330	台積電	32000	7.99
98637173	合庫台灣	2603	長榮	120000	7.12
98637173	合庫台灣	2891	中信金	570000	6.4
98637173	合庫台灣	3037	欣興	55000	5.77
98637173	合庫台灣	2886	兆豐金	360000	5.6
98640050	合庫台灣高科技	2330	台積電	21000	8.64
98640050	合庫台灣高科技	2603	長榮	70000	6.84
98640050	合庫台灣高科技	2412	中華電	80000	6.78
98640050	合庫台灣高科技	2891	中信金	350000	6.47
98640050	合庫台灣高科技	3037	欣興	35000	6.05
98637364	合庫新興多重收益A類型	LU0351442420	施羅德環球基金系列－環球可轉換債券(美元)A1-累積(本基金主要係投資於非投資等級之高風險債券)	11538.97	11.41
98637364	合庫新興多重收益A類型	LU0605512788	富達基金－亞洲高收益基金A-MINCOME-USD類股份(本基金主要係投資於非投資等級之高風險債券且	263532.25	10.13
98637364	合庫新興多重收益A類型	LU1751207421	施羅德環球基金系列－新興市場收息債券(美元)A-月配固定(本基金主要係投資於非投資等級之高風險債券且	15401.29	8.05
98637364	合庫新興多重收益A類型	LU0286668453	富達基金－亞洲高收益基金(美元累積)(本基金主要係投資於非投資等級之高風險債券)	79481.99	7.42
98637364	合庫新興多重收益A類型	US46435G1022	iShares Convertible Bond ETF	13971	6.92
98640709	合庫樂活安養ESG積極成長組合A(TWD不配息)	US2330511435	Xtrackers S&P 500 ESG ETF	256741	22.75
98640709	合庫樂活安養ESG積極成長組合A(TWD不配息)	US78468R5312	SPDR S&P 500 ESG ETF	215578	20.26
98640709	合庫樂活安養ESG積極成長組合A(TWD不配息)	US46435G5163	iShares Trust iShares ESG Aw	117151	19.65
98640709	合庫樂活安養ESG積極成長組合A(TWD不配息)	US4642898591	iShares安碩核心積極配置ETF	84445	12.94
98640709	合庫樂活安養ESG積極成長組合A(TWD不配息)	US46434V6130	iShares安碩核心總體美元計價	65980	7.49
98638724	合庫標普利變特別股收益指數A(TWD不配息)	US4642886877	iShares安碩特別股及收益證券	88150	9.18
98638724	合庫標普利變特別股收益指數A(TWD不配息)	US1730802014	CITIGROUP CAPITAL XIII		5.49
98638724	合庫標普利變特別股收益指數A(TWD不配息)	US9497465560	WELLS FARGO & COMPANY		3.67
98638724	合庫標普利變特別股收益指數A(TWD不配息)	US6934758573	PNC FINANCIAL SERVICES		3.11
98638724	合庫標普利變特別股收益指數A(TWD不配息)	US1729673582	CITIGROUP INC		2.2
98640879	合庫環境及社會責任多重資產A類型(新台幣)	US78468R5312	SPDR S&P 500 ESG ETF	162930	7
98640879	合庫環境及社會責任多重資產A類型(新台幣)	US46435U4408	iShares USD Green Bond ETF	131200	6.94
98640879	合庫環境及社會責任多重資產A類型(新台幣)	US8835561023	THERMO FISHER SCIENTIFIC INC		1.87
98640879	合庫環境及社會責任多重資產A類型(新台幣)	US2358511028	DANAHER CORP		1.79
98640879	合庫環境及社會責任多重資產A類型(新台幣)	FR0000121972	SCHNEIDER ELECTRIC SE		1.44
98640051	合庫美國短年期高收益債券A類型(新台幣)	USU12214AC30	毛瑟包裝解決方案控股公司		2.36
98640051	合庫美國短年期高收益債券A類型(新台幣)	US05508RAE62	B&G食品公司		2.28
98640051	合庫美國短年期高收益債券A類型(新台幣)	US389375AJ52	Gray電視公司		2.01
98640051	合庫美國短年期高收益債券A類型(新台幣)	US451102BW60	Icahn Enterprises		2.01
98640051	合庫美國短年期高收益債券A類型(新台幣)	USU0452AAC19	傑德溫公司		2.01
98639274	國泰15年期以上A等級醫療保健產業債券	US717081CY74	PFIZER INC		4.31
98639274	國泰15年期以上A等級醫療保健產業債券	US377372AE71	GLAXOSMITHKLINE CAP INC		3.24
98639274	國泰15年期以上A等級醫療保健產業債券	US002824BH26	ABBOTT LABORATORIES		3.01
98639274	國泰15年期以上A等級醫療保健產業債券	US110122CR72	BRISTOL-MYERS SQUIBB CO		2.83
98639274	國泰15年期以上A等級醫療保健產業債券	US046353AD01	ASTRAZENECA PLC		2.72
98639499	國泰2025到期新興市場債券-美元	USP93960AF25	Trinidad & Tobago Government International Bond		5.17
98639499	國泰2025到期新興市場債券-美元	USY7133MAC39	Pelabuhan Indonesia II PT		5.05
98639499	國泰2025到期新興市場債券-美元	USY0889VAA80	Bharti Airtel Ltd		5.03
98639499	國泰2025到期新興市場債券-美元	US10553YAF25	Braskem Finance Ltd		5
98639499	國泰2025到期新興市場債券-美元	XS1791937441	Saudi Government International Bond		4.83
98637988	國泰A50傘型之富時中國A50單日正向2倍	98636577	中國信託華盈貨幣市場	9031628.8	2.07
98637988	國泰A50傘型之富時中國A50單日正向2倍	42260528	國泰富時中國A50基金	2000000	0.98
98637174	國泰中國內需增長-新台幣	CNE000000JP5	INNER MONG YIL-A		5.97
98637174	國泰中國內需增長-新台幣	CNE100003373	SHENNAN CIRCUI-A		5.93
98637174	國泰中國內需增長-新台幣	2330	台積電	747000	5.12
98637174	國泰中國內需增長-新台幣	KYG040111059	ANTA SPORTS PROD		4.88
98637174	國泰中國內需增長-新台幣	CNE100002NT4	SG MICRO CORP-A		4.55
98638897	國泰中國新時代平衡-新台幣	XS1936784161	China Construction Bank Corp		7.17
98638897	國泰中國新時代平衡-新台幣	XS2243948457	Amipeace Ltd		5.46
98638897	國泰中國新時代平衡-新台幣	XS1856799421	CMHI Finance BVI Co Ltd		4.76
98638897	國泰中國新時代平衡-新台幣	CNE100001QQ5	MIDEA GROUP CO-A		4.19
98638897	國泰中國新時代平衡-新台幣	CNE1000002M1	CM BANK-H		3.79
98637392	國泰中國新興債券-新台幣	XS2227817876	QNB Finance Ltd		6.36
98637392	國泰中國新興債券-新台幣	XS2213043495	First Abu Dhabi Bank PJSC		4.23
98637392	國泰中國新興債券-新台幣	XS2031924108	CIFI Holdings Group Co Ltd		4.16
98637392	國泰中國新興債券-新台幣	HK0000722261	Hanwha Solutions Corp		4.15
98637392	國泰中國新興債券-新台幣	XS2242909856	Shandong Iron And Steel Xinheng International Co Ltd		4.14
98637238	國泰中國新興戰略-新台幣	CNE100001DJ8	ZHEJIANG JINGSHENG MECHANI-A		5.39
98637238	國泰中國新興戰略-新台幣	CNE100001526	BYD CO LTD -A		3.58
98637238	國泰中國新興戰略-新台幣	CNE100003ZR0	TRINA SOLAR CO LTD-A		3.54
98637238	國泰中國新興戰略-新台幣	CNE100001VW3	ZHEJIANG HUAYOU COBALT CO -A		3.47
98637238	國泰中國新興戰略-新台幣	CNE100001QQ5	MIDEA GROUP CO LTD-A		3.45
18043059	國泰中小成長-新台幣	3037	欣興	1100000	5.59
18043059	國泰中小成長-新台幣	8046	南電	533000	5.58
18043059	國泰中小成長-新台幣	3529	力旺	142000	5.24
18043059	國泰中小成長-新台幣	3035	智原	852000	4.64
18043059	國泰中小成長-新台幣	8069	元太	1512000	4.46
98637030	國泰中港台-新台幣	KYG5548P1054	L.K. TECHNOLOGY HOLDINGS LTD		5.26
98637030	國泰中港台-新台幣	CNE100002NT4	SG MICRO CORP-A		4.43
98637030	國泰中港台-新台幣	2330	台積電	100000	4.14
98637030	國泰中港台-新台幣	HK0669013440	TECHTRONIC INDUSTRIES CO LTD		4.04
98637030	國泰中港台-新台幣	KYG875721634	TENCENT HOLDINGS LTD		3.84
98638786	國泰主順位資產抵押高收益債券-新台幣A(不配息)	US92346LAE39	VERITAS US INC/BERMUDA L		1.36
98638786	國泰主順位資產抵押高收益債券-新台幣A(不配息)	US023771S586	AMERICAN AIRLINES INC		1.28
98638786	國泰主順位資產抵押高收益債券-新台幣A(不配息)	XS2200172653	PLT VII FINANCE SARL		1.22
98638786	國泰主順位資產抵押高收益債券-新台幣A(不配息)	XS2339830049	LIBRA GROUPCO SPA		1.18
98638786	國泰主順位資產抵押高收益債券-新台幣A(不配息)	XS2206382868	DIEBOLD NIXDORF		1.08
98637952	國泰亞太入息平衡-新台幣A(不配息)	SG1L01001701	DBS GROUP HLDGS		7.04
98637952	國泰亞太入息平衡-新台幣A(不配息)	ID1000118201	BANK RAKYAT INDO		5.67
98637952	國泰亞太入息平衡-新台幣A(不配息)	INE090A01021	ICICI BANK LTD		4.78
98637952	國泰亞太入息平衡-新台幣A(不配息)	JP3979200007	LASERTEC CORP		3.31
98637952	國泰亞太入息平衡-新台幣A(不配息)	ID1000109507	BANK CENTRAL ASI		2.98
98637597	國泰亞洲成長-新台幣	2330	台積電	26000	5.39
98637597	國泰亞洲成長-新台幣	JP3435000009	SONY CORP		4.42
98637597	國泰亞洲成長-新台幣	JP3979200007	LASERTEC CORP		4
98637597	國泰亞洲成長-新台幣	JP3837800006	HOYA CORP		3.58
98637597	國泰亞洲成長-新台幣	US7475251036	QUALCOMM INC		3.57
98640238	國泰亞洲高收益債券-新台幣A(不配息)	XS2099273737	THETA CAPITAL PTE LTD		4.54
98640238	國泰亞洲高收益債券-新台幣A(不配息)	XS1753595328	ABJA INVESTMENT CO		3.99
98640238	國泰亞洲高收益債券-新台幣A(不配息)	XS2050614796	GLOBAL PRIME CAPITAL		3.82
98640238	國泰亞洲高收益債券-新台幣A(不配息)	XS2238561794	FORTUNE STAR BVI LTD		3.72
98640238	國泰亞洲高收益債券-新台幣A(不配息)	XS2078814147	WANDA PROPERTIES OVERSEA		3.56
98637391	國泰人民幣貨幣市場-人民幣	HK0000731999	HONG KONG MORTGAGE CORP		6.18
98637391	國泰人民幣貨幣市場-人民幣	XS1892845600	HITACHI CAPITAL UK PLC		4.96
98637391	國泰人民幣貨幣市場-人民幣	HK0000757986	HONG KONG MORTGAGE CORP		2.47
98637391	國泰人民幣貨幣市場-人民幣	XS2357120596	EXPORT DEVELOPMNT CANADA		1.85
98638458	國泰低波動ETF傘型之美國標普500低波動高股息	US9694571004	WILLIAMS COS INC		2.93
98638458	國泰低波動ETF傘型之美國標普500低波動高股息	US02209S1033	ALTRIA GROUP INC		2.81
98638458	國泰低波動ETF傘型之美國標普500低波動高股息	US49456B1017	KINDER MORGAN INC		2.66
98638458	國泰低波動ETF傘型之美國標普500低波動高股息	US7181721090	PHILIP MORRIS INTERNATIONAL		2.55
98638458	國泰低波動ETF傘型之美國標普500低波動高股息	US00206R1023	AT&T INC		2.47
98638457	國泰低波動ETF傘型之臺灣低波動股利精選30	2330	台積電	2616000	18.43
98638457	國泰低波動ETF傘型之臺灣低波動股利精選30	2412	中華電	6522000	9.47
98638457	國泰低波動ETF傘型之臺灣低波動股利精選30	2891	中信金	24713000	7.83
98638457	國泰低波動ETF傘型之臺灣低波動股利精選30	2886	兆豐金	13896000	6.09
98638457	國泰低波動ETF傘型之臺灣低波動股利精選30	2884	玉山金	16754378	5.75
98638785	國泰優勢收益傘型之富時人民幣短期報酬ETF	CND10003JK01	CHINA GOVERNMENT BOND		6.39
98638785	國泰優勢收益傘型之富時人民幣短期報酬ETF	CND10000L6L7	EXPORT-IMPORT BANK CHINA		4.91
98638785	國泰優勢收益傘型之富時人民幣短期報酬ETF	CND10003XKV0	CHINA GOVERNMENT BOND		4.82
98638785	國泰優勢收益傘型之富時人民幣短期報酬ETF	CND100008Z52	CHINA GOVERNMENT BOND		4.81
98638785	國泰優勢收益傘型之富時人民幣短期報酬ETF	CND10002HSK1	CHINA DEVELOPMENT BANK		4.81
98640860	國泰全球基因免疫與醫療革命ETF	US1101221083	BRISTOL-MYERS SQUIBB CO		3.77
98640860	國泰全球基因免疫與醫療革命ETF	US7170811035	PFIZER INC		3.73
98640860	國泰全球基因免疫與醫療革命ETF	US92532F1003	VERTEX PHARMACEUTICALS INC		3.45
98640860	國泰全球基因免疫與醫療革命ETF	US4523271090	ILLUMINA INC		3.14
98640860	國泰全球基因免疫與醫療革命ETF	US75886F1075	REGENERON PHARMACEUTICALS		3.07
98636849	國泰全球基礎建設-新台幣	US92343V1044	VERIZON COMMUNIC		6.47
98636849	國泰全球基礎建設-新台幣	US00206R1023	AT&T INC		4.97
98636849	國泰全球基礎建設-新台幣	US65339F1012	NEXTERA ENERGY		4.58
98636849	國泰全球基礎建設-新台幣	CA29250N1050	ENBRIDGE INC		2.46
98636849	國泰全球基礎建設-新台幣	CA0213611001	ALTAGAS LTD		2.23
98637487	國泰全球多重收益平衡-新台幣A(不配息)	US78463V1070	SPDR GOLD SHARES	126500	2.47
98637487	國泰全球多重收益平衡-新台幣A(不配息)	US0378331005	APPLE INC		2.19
98637487	國泰全球多重收益平衡-新台幣A(不配息)	US91282CCZ23	US TREASURY N/B		2.12
98637487	國泰全球多重收益平衡-新台幣A(不配息)	JP1024271M85	JAPAN (2 YEAR ISSUE)		1.53
98637487	國泰全球多重收益平衡-新台幣A(不配息)	US4642882579	ISHARES MSCI ACWI ETF	135426	1.48
98640614	國泰全球智能電動車ETF	US67066G1040	NVIDIA CORP		17.93
98640614	國泰全球智能電動車ETF	US88160R1014	TESLA MOTORS INC		15.59
98640614	國泰全球智能電動車ETF	CH0012221716	ABB LTD-REG		6.8
98640614	國泰全球智能電動車ETF	NL0009538784	NXP SEMICONDUCTORS NV		5.88
98640614	國泰全球智能電動車ETF	DE0006231004	INFINEON TECHNOLOGIES AG		5.22
98636777	國泰全球積極組合-新台幣A(不配息)	17604124	安聯台灣大壩-A類型-新臺幣	1597000.3	10.72
98636777	國泰全球積極組合-新台幣A(不配息)	LU0823418115	法巴優化波動全球股票基金 I (美元)	4613.929	10
98636777	國泰全球積極組合-新台幣A(不配息)	US4642882579	ISHARES MSCI ACW	40295	9.98
98636777	國泰全球積極組合-新台幣A(不配息)	LU0248060658	摩根基金 - 美國價值基金(美元) - I股(累計)	10581.903	8.03
98636777	國泰全球積極組合-新台幣A(不配息)	18480065	安聯台灣科技	628618.3	7.72
98637102	國泰全球資源-新台幣	US30231G1022	EXXON MOBIL CORP		4.8
98637102	國泰全球資源-新台幣	US1667641005	CHEVRON CORP		4.07
98637102	國泰全球資源-新台幣	IE00BZ12WP82	LINDE PLC		3.32
98637102	國泰全球資源-新台幣	GB00BP6MXD84	SHELL PLC		3.01
98637102	國泰全球資源-新台幣	CA3518581051	FRANCO-NEVADA CO		2.52
98638154	國泰全球高股息-新台幣	US78462F1030	SPDR S&P 500 ETF	1700	6.55
98638154	國泰全球高股息-新台幣	US4642874659	ISHARES MSCI EAF	7500	4.93
98638154	國泰全球高股息-新台幣	US11135F1012	BROADCOM LTD		2.17
98638154	國泰全球高股息-新台幣	US1912161007	COCA-COLA CO/THE		2.15
98638154	國泰全球高股息-新台幣	US20825C1045	CONOCOPHILLIPS		2.01
98639295	國泰六年階梯到期新興市場債券-新台幣(不配息)	US900123AW05	Turkey Government International Bond		8.74
98639295	國泰六年階梯到期新興市場債券-新台幣(不配息)	XS1807299174	KazMunayGas National Co JSC		8.58
98639295	國泰六年階梯到期新興市場債券-新台幣(不配息)	US836205AQ75	Republic of South Africa Government International Bond		7.95
98639295	國泰六年階梯到期新興市場債券-新台幣(不配息)	USP37110AJ50	Empresa Nacional del Petroleo		7.16
98639295	國泰六年階梯到期新興市場債券-新台幣(不配息)	USY7140WAB47	Indonesia Asahan Aluminium Persero PT		5.62
98640343	國泰台灣5GPLUSETF	2330	台積電	19201000	29.39
98640343	國泰台灣5GPLUSETF	2454	聯發科	4939000	13.58
98640343	國泰台灣5GPLUSETF	2317	鴻海	41222000	10.76
98640343	國泰台灣5GPLUSETF	2303	聯電	38172000	5.04
98640343	國泰台灣5GPLUSETF	2308	台達電	6951000	4.34
98639995	國泰台灣高股息傘型之台灣ESG永續高股息ETF	2347	聯強	32224000	4.55
98639995	國泰台灣高股息傘型之台灣ESG永續高股息ETF	2301	光寶科	32630000	4.38
98639995	國泰台灣高股息傘型之台灣ESG永續高股息ETF	2357	華碩	6001000	4.38
98639995	國泰台灣高股息傘型之台灣ESG永續高股息ETF	2324	仁寶	87017000	4.34
98639995	國泰台灣高股息傘型之台灣ESG永續高股息ETF	2356	英業達	80215000	4.04
98639996	國泰台灣高股息傘型之台灣高股息-新台幣A(不配息)	2330	台積電	567000	6.29
98639996	國泰台灣高股息傘型之台灣高股息-新台幣A(不配息)	3037	欣興	1233000	5.75
98639996	國泰台灣高股息傘型之台灣高股息-新台幣A(不配息)	2886	兆豐金	7128000	4.92
98639996	國泰台灣高股息傘型之台灣高股息-新台幣A(不配息)	2303	聯電	5000000	4.79
98639996	國泰台灣高股息傘型之台灣高股息-新台幣A(不配息)	8069	元太	1620000	4.39
17612497	國泰國泰-新台幣A	2330	台積電	581200	7.51
17612497	國泰國泰-新台幣A	3037	欣興	1238000	6.73
17612497	國泰國泰-新台幣A	2303	聯電	5150000	5.74
17612497	國泰國泰-新台幣A	8069	元太	1654000	5.22
17612497	國泰國泰-新台幣A	3529	力旺	129000	5.09
19291128	國泰大中華	2330	台積電	1010000	8.46
19291128	國泰大中華	3529	力旺	330151	8.45
19291128	國泰大中華	3037	欣興	1780000	6.27
19291128	國泰大中華	8069	元太	2500000	5.11
19291128	國泰大中華	8046	南電	670000	4.87
98637675	國泰富時中國A50	CNE0000018R8	KWEICHOW MOUTAI CO LTD-A		11.43
98637675	國泰富時中國A50	CNE000001B33	CHINA MERCHANTS BANK-A		8.43
98637675	國泰富時中國A50	CNE000001R84	PING AN INSURANCE GROUP CO-A		6.81
98637675	國泰富時中國A50	CNE100003662	CONTEMPORARY AMPEREX TECHN-A		4.96
98637675	國泰富時中國A50	CNE000000VQ8	WULIANGYE YIBIN CO LTD-A		4.82
1031874	國泰小龍-新台幣	2330	台積電	1415999	8.5
1031874	國泰小龍-新台幣	3529	力旺	460000	8.43
1031874	國泰小龍-新台幣	3037	欣興	2500000	6.31
1031874	國泰小龍-新台幣	8069	元太	3560000	5.22
1031874	國泰小龍-新台幣	8046	南電	935000	4.87
98639077	國泰彭博巴克萊10年期以上A等級美元公司債券ETF	US594918CE21	MICROSOFT CORP		1.14
98639077	國泰彭博巴克萊10年期以上A等級美元公司債券ETF	US594918CC64	MICROSOFT CORP		1.05
98639077	國泰彭博巴克萊10年期以上A等級美元公司債券ETF	US037833BX70	APPLE INC		0.94
98639077	國泰彭博巴克萊10年期以上A等級美元公司債券ETF	US110122CR72	BRISTOL-MYERS SQUIBB CO		0.81
98639077	國泰彭博巴克萊10年期以上A等級美元公司債券ETF	US92826CAF95	VISA INC		0.78
98638661	國泰息收ETF傘型之彭博巴克萊10年期(以上)BBB美元息收公司債券	US097023CW33	BOEING CO		3.7
98638661	國泰息收ETF傘型之彭博巴克萊10年期(以上)BBB美元息收公司債券	US097023CX16	BOEING CO		2.31
98638661	國泰息收ETF傘型之彭博巴克萊10年期(以上)BBB美元息收公司債券	US913017BT50	UNITED TECHNOLOGIES CORP		2.18
98638661	國泰息收ETF傘型之彭博巴克萊10年期(以上)BBB美元息收公司債券	US097023CV59	BOEING CO		1.97
98638661	國泰息收ETF傘型之彭博巴克萊10年期(以上)BBB美元息收公司債券	US03522AAJ97	ANHEUSER-BUSCH CO/INBEV		1.84
98638662	國泰息收ETF傘型之彭博巴克萊優選1-5年美元高收益債券	US28470RAH57	CAESARS ENTERTAIN INC		1.72
98638662	國泰息收ETF傘型之彭博巴克萊優選1-5年美元高收益債券	US893647BE67	TRANSDIGM INC		1.5
98638662	國泰息收ETF傘型之彭博巴克萊優選1-5年美元高收益債券	US023771S586	AMERICAN AIRLINES INC		1.39
98638662	國泰息收ETF傘型之彭博巴克萊優選1-5年美元高收益債券	US00253XAA90	AMERICAN AIRLINES/AADVAN		1.18
98638662	國泰息收ETF傘型之彭博巴克萊優選1-5年美元高收益債券	US12543DBC39	CHS/COMMUNITY HEALTH SYS		0.98
98638663	國泰息收ETF傘型之彭博巴克萊新興市場5年期(以上)美元息收投資等級債券	US718286BG11	REPUBLIC OF PHILIPPINES		3.19
98638663	國泰息收ETF傘型之彭博巴克萊新興市場5年期(以上)美元息收投資等級債券	US698299AW45	REPUBLIC OF PANAMA		2.82
98638663	國泰息收ETF傘型之彭博巴克萊新興市場5年期(以上)美元息收投資等級債券	XS1883879006	DP WORLD LTD		2.7
98638663	國泰息收ETF傘型之彭博巴克萊新興市場5年期(以上)美元息收投資等級債券	US718286AY36	PHILIPPINE GOVERNMENT INTERNATIONAL BOND		2.66
98638663	國泰息收ETF傘型之彭博巴克萊新興市場5年期(以上)美元息收投資等級債券	US715638BM30	REPUBLIC OF PERU		2.52
98638892	國泰新中國傘型之國泰富時中國5年期以上政策金融債券ETF	CND100011220	CHINA DEVELOPMENT BANK		6.83
98638892	國泰新中國傘型之國泰富時中國5年期以上政策金融債券ETF	CND10001X8C7	AGRICUL DEV BANK CHINA		6.49
98638892	國泰新中國傘型之國泰富時中國5年期以上政策金融債券ETF	CND10000L7C4	CHINA DEVELOPMENT BANK		6.01
98638892	國泰新中國傘型之國泰富時中國5年期以上政策金融債券ETF	CND10000G6R1	CHINA DEVELOPMENT BANK		5.72
98638892	國泰新中國傘型之國泰富時中國5年期以上政策金融債券ETF	CND100009CN7	CHINA DEVELOPMENT BANK		5.57
98638896	國泰新中國傘型之富時中國A150ETF	CNE100001QQ5	MIDEA GROUP CO LTD-A		4.71
98638896	國泰新中國傘型之富時中國A150ETF	CNE0000016L5	BOE TECHNOLOGY GROUP CO LT-A		2.01
98638896	國泰新中國傘型之富時中國A150ETF	CNE000001ND1	POLY REAL ESTATE GROUP CO-A		1.65
98638896	國泰新中國傘型之富時中國A150ETF	CNE0000015Y0	CHINA MINSHENG BANKING-A		1.64
98638896	國泰新中國傘型之富時中國A150ETF	CNE000001GS3	TONGWEI CO LTD-A		1.53
98637077	國泰新興市場-新台幣	8069	元太	365000	9.02
98637077	國泰新興市場-新台幣	2330	台積電	80000	8.1
98637077	國泰新興市場-新台幣	INE585B01010	MARUTI SUZUKI IN		4.74
98637077	國泰新興市場-新台幣	3141	晶宏	124000	3.87
98637077	國泰新興市場-新台幣	AN8068571086	SCHLUMBERGER LTD		3.8
98637189	國泰新興高收益債券-新台幣A(不配息)	MX0MGO0000D8	Mexican Bonos		2.97
98637189	國泰新興高收益債券-新台幣A(不配息)	HK0000732427	Vanke Real Estate Hong Kong Co Ltd		2.57
98637189	國泰新興高收益債券-新台幣A(不配息)	XS2093581317	Ukraine Government International Bond		2.44
98637189	國泰新興高收益債券-新台幣A(不配息)	US917288BM35	Uruguay Government International Bond		2.31
98637189	國泰新興高收益債券-新台幣A(不配息)	XS2322319398	Pakistan Government International Bond		2.16
98639170	國泰旗艦產業ETF傘型之15年期以上A等級公用事業產業債券	US745332CH73	PUGET SOUND ENERGY INC		1.87
98639170	國泰旗艦產業ETF傘型之15年期以上A等級公用事業產業債券	US695114CG18	PACIFICORP		1.61
98639170	國泰旗艦產業ETF傘型之15年期以上A等級公用事業產業債券	US69351UAU79	PPL ELECTRIC UTILITIES		1.57
98639170	國泰旗艦產業ETF傘型之15年期以上A等級公用事業產業債券	US842434CS98	SOUTHERN CALIF GAS CO		1.38
98639170	國泰旗艦產業ETF傘型之15年期以上A等級公用事業產業債券	US842400GR87	SOUTHERN CAL EDISON		1.37
98639171	國泰旗艦產業ETF傘型之15年期以上A等級科技產業債券	US594918CE21	MICROSOFT CORP		4.23
98639171	國泰旗艦產業ETF傘型之15年期以上A等級科技產業債券	US037833BX70	APPLE INC		3.97
98639171	國泰旗艦產業ETF傘型之15年期以上A等級科技產業債券	US594918CC64	MICROSOFT CORP		3.64
98639171	國泰旗艦產業ETF傘型之15年期以上A等級科技產業債券	US92826CAF95	VISA INC		3.53
98639171	國泰旗艦產業ETF傘型之15年期以上A等級科技產業債券	US459200HF10	IBM CORP		2.87
98639169	國泰旗艦產業ETF傘型之7-10年A等級金融產業債券	US38141GXH28	GOLDMAN SACHS GROUP INC		8.2
98639169	國泰旗艦產業ETF傘型之7-10年A等級金融產業債券	US86562MBP41	SUMITOMO MITSUI FINL GRP		7.89
98639169	國泰旗艦產業ETF傘型之7-10年A等級金融產業債券	US693475AZ80	PNC FINANCIAL SERVICES		6.11
98639169	國泰旗艦產業ETF傘型之7-10年A等級金融產業債券	US38141GXG45	GOLDMAN SACHS GROUP INC		6.02
98639169	國泰旗艦產業ETF傘型之7-10年A等級金融產業債券	US606822BM52	MITSUBISHI UFJ FIN GRP		5.56
98638076	國泰日本ETF傘型之日經225	JP3802300008	FAST RETAILING CO LTD		7.16
98638076	國泰日本ETF傘型之日經225	JP3571400005	TOKYO ELECTRON LTD		6.56
98638076	國泰日本ETF傘型之日經225	JP3436100006	SOFTBANK GROUP CORP		3.61
98638076	國泰日本ETF傘型之日經225	JP3496400007	KDDI CORP		2.75
98638076	國泰日本ETF傘型之日經225	JP3802400006	FANUC CORP		2.44
98638314	國泰智富ETF安鑫組合-新台幣A(不配息)	US72201R7834	PIMCO 0-5 YR H/Y	10855	12.35
98638314	國泰智富ETF安鑫組合-新台幣A(不配息)	US92189F4375	VANECK VECTORS F	23215	8.4
98638314	國泰智富ETF安鑫組合-新台幣A(不配息)	IE0032895942	ISHR $ CORP	5971	8.24
98638314	國泰智富ETF安鑫組合-新台幣A(不配息)	US46429B6552	ISHARES FLOATING	9900	5.89
98638314	國泰智富ETF安鑫組合-新台幣A(不配息)	IE00B2NPKV68	ISHR JPM $ EMB	4837	5.67
98639130	國泰標普北美科技ETF	US0378331005	APPLE INC		9.17
98639130	國泰標普北美科技ETF	US5949181045	MICROSOFT CORP		8.88
98639130	國泰標普北美科技ETF	US0231351067	AMAZON.COM INC		8.7
98639130	國泰標普北美科技ETF	US67066G1040	NVIDIA CORP		4.78
98639130	國泰標普北美科技ETF	US02079K3059	ALPHABET INC-CL A		4.69
98639490	國泰泰享退系列2029目標日期組合-新台幣A	LU1041600930	摩根環球債券收益美元Ｉ股累計	65059.802	7.88
98639490	國泰泰享退系列2029目標日期組合-新台幣A	LU0248060658	摩根基金 - 美國價值基金(美元) - I股(累計)	19436.39	6.29
98639490	國泰泰享退系列2029目標日期組合-新台幣A	LU0149084476	摩根士丹利環球可轉換債券基金 I (美元)	81928.273	5.65
98639490	國泰泰享退系列2029目標日期組合-新台幣A	LU0683600992	聯博-精選美國股票基金I股美元	85547.059	5.36
98639490	國泰泰享退系列2029目標日期組合-新台幣A	IE00B02SDH94	PIMCO短年期債券基金-機構H級類別(累積股份)	372057.308	4.84
98639496	國泰泰享退系列2039目標日期組合-新台幣A	LU0248060658	摩根基金 - 美國價值基金(美元) - I股(累計)	15415.664	7.32
